,0,1,2,3,4
0,1.32,0.0,0.0,0.0,0.0
1,1.32,0.0,0.0,0.0,0.0
2,2.38,0.0,0.0,0.0,0.0
3,2.38,0.0,0.0,0.0,0.0
4,2.38,0.0,0.0,0.0,0.0
5,2.38,0.0,0.0,0.0,0.0
6,2.38,0.0,0.0,0.0,0.0
7,2.38,0.0,0.0,0.0,0.0
8,2.38,0.0,0.0,0.0,0.0
9,2.38,0.0,0.0,0.0,0.0
10,2.38,0.0,0.0,0.0,0.0
11,2.38,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,89.56,5.69,0.12,0.24
15,0.0,89.56,5.69,0.12,0.24
16,0.0,91.0,5.41,0.12,0.24
17,0.0,91.0,5.41,0.12,0.24
18,0.0,91.0,4.92,0.12,0.24
19,0.0,91.0,4.92,0.12,0.24
20,0.0,91.0,4.44,0.07,0.14
21,0.0,91.0,4.44,0.07,0.14
22,0.0,92.0,4.08,0.07,0.14
23,0.0,92.0,4.08,0.07,0.14
24,0.0,92.6,3.64,0.07,0.14
25,0.0,92.6,3.64,0.07,0.14
26,0.0,93.0,3.27,0.07,0.14
27,0.0,93.0,3.27,0.07,0.14
28,0.0,93.0,2.77,0.06,0.12
29,0.0,93.0,2.77,0.06,0.12
30,0.0,93.0,2.52,0.06,0.12
31,0.0,93.0,2.52,0.06,0.12
32,0.0,93.6,2.12,0.05,0.1
33,0.0,93.6,2.12,0.05,0.1
34,0.0,94.5,1.82,0.05,0.1
35,0.0,94.5,1.82,0.05,0.1
36,0.0,94.8,1.52,0.02,0.04
37,0.0,94.8,1.52,0.02,0.04
38,0.0,95.2,1.2,0.01,0.02
39,0.0,95.2,1.2,0.01,0.02
40,0.0,95.2,0.91,0.01,0.02
41,0.0,95.2,0.91,0.01,0.02
42,0.0,95.2,0.57,0.01,0.02
43,0.0,95.2,0.57,0.01,0.02
44,0.0,95.8,0.39,0.01,0.02
45,0.0,95.8,0.39,0.01,0.02
46,0.0,95.8,0.19,0.01,0.02
47,0.0,95.8,0.19,0.01,0.02
48,0.0,96.0,0.05,0.01,0.02
49,0.0,96.0,0.05,0.01,0.02
50,0.0,96.0,0.0,0.0,0.0
51,0.0,96.0,0.0,0.0,0.0
52,0.0,96.0,0.0,0.0,0.0
53,0.0,96.0,0.0,0.0,0.0
54,0.0,96.0,0.0,0.0,0.0
55,0.0,96.0,0.0,0.0,0.0
56,0.0,96.0,0.0,0.0,0.0
57,0.0,96.0,0.0,0.0,0.0
58,0.0,96.0,0.0,0.0,0.0
59,0.0,96.0,0.0,0.0,0.0
60,0.0,96.0,0.0,0.0,0.0
61,0.0,96.0,0.0,0.0,0.0
62,0.0,96.0,0.0,0.0,0.0
63,0.0,96.0,0.0,0.0,0.0
64,0.0,96.0,0.0,0.0,0.0
65,0.0,96.0,0.0,0.0,0.0
66,0.0,96.0,0.0,0.0,0.0
67,0.0,96.0,0.0,0.0,0.0
68,0.0,96.0,0.0,0.0,0.0
69,0.0,96.0,0.0,0.0,0.0
70,0.0,96.0,0.0,0.0,0.0
71,0.0,96.0,0.0,0.0,0.0
72,0.0,96.0,0.0,0.0,0.0
73,0.0,96.0,0.0,0.0,0.0
74,0.0,96.0,0.0,0.0,0.0
75,0.0,96.0,0.0,0.0,0.0
76,0.0,96.0,0.0,0.0,0.0
77,0.0,96.0,0.0,0.0,0.0
78,0.0,192.0,0.0,0.0,0.0
