,0,1,2,3
0,28.0,4.0,40.0,0.0
1,28.0,4.0,40.0,0.0
2,28.0,4.0,54.0,4.0
3,28.0,4.0,54.0,4.0
4,28.0,4.0,54.0,4.0
5,28.0,4.0,54.0,4.0
6,28.0,4.0,54.0,4.0
7,28.0,4.0,54.0,4.0
8,28.0,4.0,54.0,4.0
9,28.0,4.0,54.0,4.0
10,28.0,4.0,54.0,4.0
11,28.0,4.0,54.0,4.0
12,28.0,32.0,36.0,0.0
13,28.0,32.0,36.0,0.0
14,48.0,40.0,62.0,50.0
15,48.0,40.0,62.0,50.0
16,48.0,34.0,56.0,56.0
17,48.0,34.0,56.0,56.0
18,48.0,44.0,56.0,48.0
19,48.0,44.0,56.0,48.0
20,48.0,44.0,40.0,48.0
21,48.0,44.0,40.0,48.0
22,48.0,42.0,38.0,38.0
23,48.0,42.0,38.0,38.0
24,48.0,42.0,46.0,30.0
25,48.0,42.0,46.0,30.0
26,48.0,36.0,54.0,34.0
27,48.0,36.0,54.0,34.0
28,48.0,36.0,46.0,34.0
29,48.0,36.0,46.0,34.0
30,48.0,36.0,46.0,36.0
31,48.0,36.0,46.0,36.0
32,48.0,36.0,56.0,22.0
33,48.0,36.0,56.0,22.0
34,48.0,36.0,50.0,24.0
35,48.0,36.0,50.0,24.0
36,48.0,36.0,50.0,12.0
37,48.0,36.0,50.0,12.0
38,48.0,32.0,48.0,12.0
39,48.0,32.0,48.0,12.0
40,48.0,32.0,38.0,14.0
41,48.0,32.0,38.0,14.0
42,48.0,32.0,36.0,16.0
43,48.0,32.0,36.0,16.0
44,48.0,26.0,32.0,20.0
45,48.0,26.0,32.0,20.0
46,48.0,26.0,26.0,20.0
47,48.0,26.0,26.0,20.0
48,48.0,24.0,24.0,10.0
49,48.0,24.0,24.0,10.0
50,48.0,24.0,24.0,0.0
51,48.0,24.0,24.0,0.0
52,48.0,24.0,24.0,0.0
53,48.0,24.0,24.0,0.0
54,48.0,24.0,24.0,0.0
55,48.0,24.0,24.0,0.0
56,48.0,24.0,24.0,0.0
57,48.0,24.0,24.0,0.0
58,48.0,24.0,24.0,0.0
59,48.0,24.0,24.0,0.0
60,48.0,24.0,24.0,0.0
61,48.0,24.0,24.0,0.0
62,48.0,24.0,24.0,0.0
63,48.0,24.0,24.0,0.0
64,48.0,24.0,24.0,0.0
65,48.0,24.0,24.0,0.0
66,48.0,24.0,24.0,0.0
67,48.0,24.0,24.0,0.0
68,48.0,24.0,24.0,0.0
69,48.0,24.0,24.0,0.0
70,48.0,24.0,24.0,0.0
71,48.0,24.0,24.0,0.0
72,48.0,24.0,24.0,0.0
73,48.0,24.0,24.0,0.0
74,48.0,24.0,24.0,0.0
75,48.0,24.0,24.0,0.0
76,48.0,24.0,24.0,0.0
77,48.0,24.0,24.0,0.0
78,72.0,48.0,24.0,0.0
